40
-93 43 17 38 3 80 32 96 -68 88 -5 71 69 -47 -58 12 -47 -15 -61 69 51 -47 -75 60 8 -84 -50 -35 12 36 61 -79 -63 -94 -98 -12 45 -55 38 23
53 -69 -36 -20 -34 72 21 -25 39 75 -75 64 47 42 -78 -60 -84 26 32 -26 -12 -100 59 -93 -45 54 60 -18 -55 81 -100 -68 53 -71 -12 82 95 -7 18 51
-11 -11 67 94 80 -66 15 -6 1 41 -17 -87 -53 -11 -4 -100 20 45 17 -9 -82 69 -25 61 -58 9 -57 67 -98 -41 73 -79 74 -63 -43 -62 -41 55 -80 1
54 93 13 -76 -49 -69 100 -10 -2 -88 -33 46 58 -69 5 37 99 -84 -1 70 -24 -50 -72 -17 40 -13 -77 35 86 8 4 27 19 94 -71 -66 40 45 20 -67
-72 75 -78 -45 89 -80 -26 -63 27 -27 -60 -71 -87 -10 13 38 -65 12 -10 46 -39 31 -96 -64 -21 48 -98 -8 -38 -92 -87 52 30 -84 -92 53 -10 -46 -8 -28
92 -20 52 58 23 26 94 28 48 65 11 37 89 47 -43 95 53 -34 -7 -41 50 -17 -100 16 -62 -82 37 -13 -44 -76 -79 3 -30 -93 68 -34 -28 -85 -25 41
22 11 45 3 -7 -73 63 -82 -41 48 39 89 -19 79 -4 -7 -79 26 -90 -84 88 46 71 63 15 45 91 -97 -30 75 14 -37 -91 90 -27 -24 -82 -14 91 -9
-12 34 7 53 -31 80 77 -42 33 -26 85 -51 27 69 50 -44 -46 -64 76 -62 82 -97 -89 -28 51 95 12 3 0 -92 -92 -79 -58 40 -14 -63 -64 39 -51 -29
-43 19 -24 -61 -28 -14 91 57 -69 -72 -31 -94 -15 -84 71 -43 -51 -18 -68 14 -21 38 -74 -11 -26 -34 10 25 53 -96 21 45 -86 -37 91 -69 47 -31 54 -55
-70 -31 28 -55 -100 -83 55 60 -66 75 -73 80 -91 -42 -4 -59 8 9 -6 -83 75 -67 95 24 -78 -73 99 -92 35 -93 -58 -64 89 -74 -60 46 -89 -20 65 48
51 23 -14 -26 -77 11 84 -73 10 -55 -35 62 -92 65 28 -83 -93 39 -21 61 -31 75 -65 -78 -94 33 33 -60 -48 -98 -90 96 -71 -57 -90 -30 26 90 -73 -45
-78 -65 -78 97 83 53 15 -7 0 -81 -95 17 -11 -79 61 87 -85 -65 -77 -5 18 29 -95 51 29 -64 20 -5 -57 87 3 12 -47 75 -58 -21 -69 -82 -98 40
-5 51 -88 -10 -22 25 -87 49 -9 -4 -50 -66 -3 -25 51 29 -38 -27 -28 -81 -88 -56 30 -10 -91 -46 14 17 -10 -99 24 -36 5 61 -97 70 -50 -37 -1 22
-21 -80 31 7 -85 -100 -74 -47 64 50 -83 -85 -86 5 -6 19 -54 -64 -42 -12 11 1 -51 -59 28 -71 -86 -68 -47 -75 -30 -60 -20 -51 -63 -67 -20 42 -71 -13
91 -73 57 -34 -65 -44 -67 -40 5 79 -43 73 -58 -95 -95 -16 -46 -49 38 92 50 -62 -59 -78 83 18 -45 -52 -32 55 89 -28 -23 -50 -15 -92 -35 -92 -41 -12
-62 84 -75 -66 76 -4 7 -100 19 -7 -71 -31 -40 -1 17 61 89 0 -49 -27 -88 -50 82 100 -1 -80 58 -78 -91 -5 66 -97 67 -74 -3 10 -97 -13 -39 32
75 -31 -66 -90 -23 -28 -7 -84 -8 -74 -72 58 -28 -48 -58 -26 -98 6 -49 -16 -3 65 -67 -5 -47 21 -25 -30 -27 -35 60 -32 -86 55 -26 4 37 66 12 36
-18 -85 26 -12 -22 90 -85 94 -47 -35 -4 1 -96 6 -24 -14 -15 -15 16 -50 -41 62 -10 70 91 -50 -75 -41 34 -69 -48 -47 -100 38 -44 -43 -74 -40 -89 34
-71 -96 -1 50 -49 -14 -76 -38 -28 -43 -100 -75 -14 96 11 -50 15 -93 -21 -42 3 -63 -19 -50 -71 -61 -94 89 -86 33 -70 73 14 31 94 -9 -92 47 73 71
-92 -43 97 -15 -42 70 19 -3 28 -9 -3 -4 37 -58 -94 -17 69 11 46 -85 76 -87 -4 87 11 -41 25 60 94 -99 94 -25 66 -69 87 66 -64 9 -100 63
